time,intensity
-0.00000001,8554957.008074176
-0.00000000997997997997998,8572084.026237605
-0.00000000995995995995996,8589210.906950347
-0.00000000993993993993994,8606337.5125114
-0.00000000991991991991992,8623463.704948254
-0.0000000098998998998999,8640589.346018517
-0.00000000987987987987988,8657714.297211617
-0.00000000985985985985986,8674838.419750508
-0.00000000983983983983984,8691961.57459332
-0.00000000981981981981982,8709083.622435138
-0.0000000097997997997998,8726204.423709646
-0.00000000977977977977978,8743323.838590886
-0.00000000975975975975976,8760441.726995025
-0.00000000973973973973974,8777557.948582016
-0.00000000971971971971972,8794672.362757416
-0.0000000096996996996997,8811784.82867413
-0.00000000967967967967968,8828895.205234164
-0.00000000965965965965966,8846003.351090405
-0.00000000963963963963964,8863109.12464841
-0.00000000961961961961962,8880212.384068217
-0.0000000095995995995996,8897312.987266107
-0.00000000957957957957958,8914410.79191644
-0.00000000955955955955956,8931505.65545347
-0.00000000953953953953954,8948597.435073182
-0.00000000951951951951952,8965685.987735089
-0.0000000094994994994995,8982771.170164118
-0.00000000947947947947948,8999852.838852443
-0.00000000945945945945946,9016930.85006133
-0.00000000943943943943944,9034005.059823027
-0.00000000941941941941942,9051075.323942652
-0.0000000093993993993994,9068141.49800003
-0.00000000937937937937938,9085203.437351612
-0.00000000935935935935936,9102260.997132385
-0.00000000933933933933934,9119314.032257775
-0.00000000931931931931932,9136362.397425545
-0.000000009299299299299299,9153405.947117737
-0.000000009279279279279279,9170444.535602586
-0.000000009259259259259259,9187478.016936498
-0.000000009239239239239239,9204506.244965946
-0.000000009219219219219219,9221529.07332946
-0.000000009199199199199199,9238546.35545959
-0.000000009179179179179179,9255557.944584848
-0.000000009159159159159159,9272563.693731721
-0.000000009139139139139139,9289563.45572665
-0.000000009119119119119119,9306557.08319799
-0.000000009099099099099099,9323544.428578071
-0.000000009079079079079079,9340525.34410516
-0.000000009059059059059059,9357499.681825478
-0.000000009039039039039039,9374467.293595279
-0.000000009019019019019019,9391428.031082798
-0.000000008998998998998999,9408381.745770365
-0.000000008978978978978979,9425328.288956407
-0.000000008958958958958959,9442267.511757532
-0.000000008938938938938939,9459199.26511055
-0.000000008918918918918919,9476123.39977459
-0.000000008898898898898899,9493039.766333159
-0.000000008878878878878879,9509948.21519618
-0.000000008858858858858858,9526848.596602166
-0.000000008838838838838838,9543740.760620251
-0.000000008818818818818818,9560624.557152325
-0.000000008798798798798798,9577499.835935129
-0.000000008778778778778778,9594366.4465424
