time,intensity
-0.00000001,17109914.015610825
-0.00000000997997997997998,17144168.051937696
-0.00000000995995995995996,17178421.813363176
-0.00000000993993993993994,17212675.024485298
-0.00000000991991991991992,17246927.40935902
-0.0000000098998998998999,17281178.691499565
-0.00000000987987987987988,17315428.59388579
-0.00000000985985985985986,17349676.8389636
-0.00000000983983983983984,17383923.14864926
-0.00000000981981981981982,17418167.24433293
-0.0000000097997997997998,17452408.846881986
-0.00000000977977977977978,17486647.67664452
-0.00000000975975975975976,17520883.453452844
-0.00000000973973973973974,17555115.89662688
-0.00000000971971971971972,17589344.72497774
-0.0000000096996996996997,17623569.656811226
-0.00000000967967967967968,17657790.40993136
-0.00000000965965965965966,17692006.70164392
-0.00000000963963963963964,17726218.248760007
-0.00000000961961961961962,17760424.767599702
-0.0000000095995995995996,17794625.973995566
-0.00000000957957957957958,17828821.583296318
-0.00000000955955955955956,17863011.31037047
-0.00000000953953953953954,17897194.869609997
-0.00000000951951951951952,17931371.97493392
-0.0000000094994994994995,17965542.33979208
-0.00000000947947947947948,17999705.677168846
-0.00000000945945945945946,18033861.699586738
-0.00000000943943943943944,18068010.119110256
-0.00000000941941941941942,18102150.647349622
-0.0000000093993993993994,18136282.99546451
-0.00000000937937937937938,18170406.87416781
-0.00000000935935935935936,18204521.993729506
-0.00000000933933933933934,18238628.063980423
-0.00000000931931931931932,18272724.794316113
-0.000000009299299299299299,18306811.893700644
-0.000000009279279279279279,18340889.0706705
-0.000000009259259259259259,18374956.033338483
-0.000000009239239239239239,18409012.489397552
-0.000000009219219219219219,18443058.14612475
-0.000000009199199199199199,18477092.71038519
-0.000000009179179179179179,18511115.88863589
-0.000000009159159159159159,18545127.38692982
-0.000000009139139139139139,18579126.910919864
-0.000000009119119119119119,18613114.165862747
-0.000000009099099099099099,18647088.856623102
-0.000000009079079079079079,18681050.687677484
-0.000000009059059059059059,18714999.36311833
-0.000000009039039039039039,18748934.586658143
-0.000000009019019019019019,18782856.061633408
